"date" "lat_aod" "long_aod" "value_aod" "lat_pm" "long_pm" "value_pm"
"169" 2007-09-24 33.7 -118.2 -0.0142972469329834 33.79236 -118.17533 8.5
"170" 2007-10-01 33.7 -118.2 0.119902029633522 33.79236 -118.17533 11
"171" 2007-10-02 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 15.2
"172" 2007-10-03 33.7 -118.2 -0.0509703159332275 33.79236 -118.17533 18.7
"173" 2007-10-04 33.7 -118.2 0.172695115208626 33.79236 -118.17533 9.5
"174" 2007-10-10 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 7
"175" 2007-10-11 33.7 -118.2 0.140535667538643 33.79236 -118.17533 8.2
"176" 2007-10-12 33.7 -118.2 0.071138933300972 33.79236 -118.17533 6.8
"177" 2007-10-13 33.7 -118.2 0.0999131947755814 33.79236 -118.17533 6.2
"178" 2007-10-14 33.7 -118.2 -0.00647903978824615 33.79236 -118.17533 12.1
"179" 2007-10-20 33.7 -118.2 0.130138233304024 33.79236 -118.17533 10.8
"180" 2007-10-21 33.7 -118.2 0.18373729288578 33.79236 -118.17533 18.3
"181" 2007-10-23 33.7 -118.2 1.0796080827713 33.79236 -118.17533 29.7
"182" 2007-10-30 33.7 -118.2 0.109827026724815 33.79236 -118.17533 10.1
"183" 2007-10-31 33.7 -118.2 0.119902029633522 33.79236 -118.17533 15.2
"184" 2007-11-02 33.7 -118.2 0.241366490721703 33.79236 -118.17533 42.9
"185" 2007-11-10 33.7 -118.2 0.0999131947755814 33.79236 -118.17533 9.3
"186" 2007-11-12 33.7 -118.2 -0.101264819502831 33.79236 -118.17533 26.2
"187" 2007-11-19 33.7 -118.2 0.265546500682831 33.79236 -118.17533 67.9
"188" 2007-11-21 33.7 -118.2 0.0350300520658493 33.79236 -118.17533 28.5
"189" 2007-12-01 33.7 -118.2 -0.0294500589370728 33.79236 -118.17533 6.2
"190" 2007-12-08 33.7 -118.2 0.109827026724815 33.79236 -118.17533 6.4
"191" 2007-12-09 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 8.3
"192" 2007-12-10 33.7 -118.2 -0.0367846786975861 33.79236 -118.17533 12.5
"193" 2007-12-11 33.7 -118.2 -0.0142972469329834 33.79236 -118.17533 6.3
"194" 2007-12-30 33.7 -118.2 0.229518249630928 33.79236 -118.17533 32.8
"195" 2008-01-15 33.7 -118.2 0.0266879424452782 33.79236 -118.17533 16.6
"196" 2008-01-16 33.7 -118.2 0.119902029633522 33.79236 -118.17533 13.3
"197" 2008-01-17 33.7 -118.2 0.071138933300972 33.79236 -118.17533 7.3
"198" 2008-01-18 33.7 -118.2 0.0179428309202194 33.79236 -118.17533 15.2
"199" 2008-01-26 33.7 -118.2 0.151094272732735 33.79236 -118.17533 5.6
"200" 2008-01-28 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 3.2
"201" 2008-02-05 33.7 -118.2 0.071138933300972 33.79236 -118.17533 9.7
"202" 2008-02-06 33.7 -118.2 0.0264864414930344 33.79236 -118.17533 14.5
"203" 2008-02-07 33.7 -118.2 -0.0439580827951431 33.79236 -118.17533 18
"204" 2008-02-11 33.7 -118.2 0.140535667538643 33.79236 -118.17533 27.8
"205" 2008-02-14 33.7 -118.2 0.130138233304024 33.79236 -118.17533 16.6
"206" 2008-02-15 33.7 -118.2 0.0445408821105957 33.79236 -118.17533 8.4
"207" 2008-02-16 33.7 -118.2 -0.00647903978824615 33.79236 -118.17533 10.9
"208" 2008-02-25 33.7 -118.2 0.265546500682831 33.79236 -118.17533 9.1
"209" 2008-02-26 33.7 -118.2 0.043815478682518 33.79236 -118.17533 10.5
"210" 2008-02-28 33.7 -118.2 0.206305339932442 33.79236 -118.17533 11.2
"211" 2008-03-03 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 12.5
"212" 2008-03-04 33.7 -118.2 0.161814108490944 33.79236 -118.17533 11
"213" 2008-03-05 33.7 -118.2 0.194940730929375 33.79236 -118.17533 13
"214" 2008-03-07 33.7 -118.2 -0.0419430993497372 33.79236 -118.17533 18.2
"215" 2008-03-13 33.7 -118.2 0.194940730929375 33.79236 -118.17533 10
"216" 2008-03-14 33.7 -118.2 0.0877828598022461 33.79236 -118.17533 9.2
"217" 2008-03-15 33.7 -118.2 0.217831268906593 33.79236 -118.17533 6.2
"218" 2008-03-16 33.7 -118.2 0.101202785968781 33.79236 -118.17533 5.2
"219" 2008-03-17 33.7 -118.2 0.172695115208626 33.79236 -118.17533 7.5
"220" 2008-03-21 33.7 -118.2 0.18373729288578 33.79236 -118.17533 13.3
"221" 2008-03-22 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 13.6
"222" 2008-03-23 33.7 -118.2 0.136304154992104 33.79236 -118.17533 11.6
"223" 2008-03-24 33.7 -118.2 0.172695115208626 33.79236 -118.17533 13.7
"224" 2008-03-26 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 12.1
"225" 2008-03-31 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 9.5
"226" 2008-04-02 33.7 -118.2 0.119902029633522 33.79236 -118.17533 8.1
"227" 2008-04-07 33.7 -118.2 0.382336139678955 33.79236 -118.17533 8.9
"228" 2008-04-08 33.7 -118.2 0.130138233304024 33.79236 -118.17533 9.3
"229" 2008-04-11 33.7 -118.2 0.115348115563393 33.79236 -118.17533 12.9
"230" 2008-04-12 33.7 -118.2 0.135336950421333 33.79236 -118.17533 10.8
"231" 2008-04-13 33.7 -118.2 0.0618699043989182 33.79236 -118.17533 9.1
"232" 2008-04-14 33.7 -118.2 0.130138233304024 33.79236 -118.17533 12.7
"233" 2008-04-15 33.7 -118.2 0.0618699043989182 33.79236 -118.17533 10.1
"234" 2008-04-16 33.7 -118.2 0.161814108490944 33.79236 -118.17533 10.1
"235" 2008-04-17 33.7 -118.2 0.109827026724815 33.79236 -118.17533 13.7
"236" 2008-04-22 33.7 -118.2 0.27787834405899 33.79236 -118.17533 10.8
"237" 2008-04-23 33.7 -118.2 0.151094272732735 33.79236 -118.17533 8.9
"238" 2008-04-24 33.7 -118.2 0.130138233304024 33.79236 -118.17533 8.6
"239" 2008-04-25 33.7 -118.2 0.217831268906593 33.79236 -118.17533 11.6
"240" 2008-04-27 33.7 -118.2 0.119902029633522 33.79236 -118.17533 15.2
"241" 2008-05-01 33.7 -118.2 0.315841019153595 33.79236 -118.17533 12.4
"242" 2008-05-02 33.7 -118.2 0.125020131468773 33.79236 -118.17533 12.3
"243" 2008-05-03 33.7 -118.2 0.172614529728889 33.79236 -118.17533 12.9
"244" 2008-05-04 33.7 -118.2 0.071138933300972 33.79236 -118.17533 11.5
"245" 2008-05-09 33.7 -118.2 0.206305339932442 33.79236 -118.17533 11.8
"246" 2008-05-11 33.7 -118.2 0.410062551498413 33.79236 -118.17533 14.3
"247" 2008-05-12 33.7 -118.2 0.229518249630928 33.79236 -118.17533 10.5
"248" 2008-05-17 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 12.3
"249" 2008-05-18 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 14.1
"250" 2008-05-19 33.7 -118.2 0.109827026724815 33.79236 -118.17533 10.7
"251" 2008-05-20 33.7 -118.2 0.0999131947755814 33.79236 -118.17533 11.5
"252" 2008-05-21 33.7 -118.2 0.253375887870789 33.79236 -118.17533 13.9
"253" 2008-05-22 33.7 -118.2 0.172695115208626 33.79236 -118.17533 14.6
"254" 2008-05-26 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 5.2
"255" 2008-05-28 33.7 -118.2 0.0901605635881424 33.79236 -118.17533 9.3
"256" 2008-06-06 33.7 -118.2 0.140535667538643 33.79236 -118.17533 12.6
"257" 2008-06-07 33.7 -118.2 0.0451050698757172 33.79236 -118.17533 11.5
"258" 2008-06-08 33.7 -118.2 0.0901605635881424 33.79236 -118.17533 13.8
"259" 2008-06-09 33.7 -118.2 0.303025603294373 33.79236 -118.17533 17.7
"260" 2008-06-12 33.7 -118.2 0.0901605635881424 33.79236 -118.17533 11.1
"261" 2008-06-14 33.7 -118.2 0.151094272732735 33.79236 -118.17533 16.4
"262" 2008-06-15 33.7 -118.2 0.0712195187807083 33.79236 -118.17533 17.1
"263" 2008-06-19 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 12.8
"264" 2008-06-20 33.7 -118.2 0.217871516942978 33.79236 -118.17533 13.9
"265" 2008-06-22 33.7 -118.2 0.109827026724815 33.79236 -118.17533 11.3
"266" 2008-06-23 33.7 -118.2 0.071138933300972 33.79236 -118.17533 13.9
"267" 2008-06-24 33.7 -118.2 0.0589280128479004 33.79236 -118.17533 16.5
"268" 2008-06-28 33.7 -118.2 0.221350744366646 33.79236 -118.17533 19.8
"269" 2008-06-29 33.7 -118.2 0.0641804486513138 33.79236 -118.17533 16.3
"270" 2008-06-30 33.7 -118.2 0.0901605635881424 33.79236 -118.17533 11.5
"271" 2008-07-01 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 12.5
"272" 2008-07-02 33.7 -118.2 0.0410347580909729 33.79236 -118.17533 18.9
"273" 2008-07-03 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 16
"274" 2008-07-07 33.7 -118.2 0.212551891803741 33.79236 -118.17533 19.4
"275" 2008-07-08 33.7 -118.2 0.497110784053802 33.79236 -118.17533 16.7
"276" 2008-07-15 33.7 -118.2 0.172695115208626 33.79236 -118.17533 14
"277" 2008-07-18 33.7 -118.2 0.229518249630928 33.79236 -118.17533 17.6
"278" 2008-07-19 33.7 -118.2 0.151819661259651 33.79236 -118.17533 10.7
"279" 2008-07-26 33.7 -118.2 0.206305339932442 33.79236 -118.17533 14.3
"280" 2008-07-27 33.7 -118.2 0.0901605635881424 33.79236 -118.17533 11.7
"281" 2008-07-28 33.7 -118.2 0.157421380281448 33.79236 -118.17533 14.5
"282" 2008-08-01 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 15.7
"283" 2008-08-02 33.7 -118.2 0.043815478682518 33.79236 -118.17533 13.4
"284" 2008-08-04 33.7 -118.2 0.0805691331624985 33.79236 -118.17533 13.5
"285" 2008-08-05 33.7 -118.2 0.0969847217202187 33.79236 -118.17533 10.8
"286" 2008-08-06 33.7 -118.2 0.110552400350571 33.79236 -118.17533 13.2
"287" 2008-08-07 33.7 -118.2 0.156937763094902 33.79236 -118.17533 12.5
"288" 2008-08-09 33.7 -118.2 0.071138933300972 33.79236 -118.17533 8.5
"289" 2008-08-10 33.7 -118.2 -0.0509703159332275 33.79236 -118.17533 10.1
"290" 2008-08-11 33.7 -118.2 0.043815478682518 33.79236 -118.17533 12.7
"291" 2008-08-12 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 17.9
"292" 2008-08-13 33.7 -118.2 0.0179428309202194 33.79236 -118.17533 16.7
"293" 2008-08-15 33.7 -118.2 0.206305339932442 33.79236 -118.17533 11.1
"294" 2008-08-16 33.7 -118.2 0.071138933300972 33.79236 -118.17533 11.6
"295" 2008-08-17 33.7 -118.2 0.0527621060609818 33.79236 -118.17533 14.4
"296" 2008-08-18 33.7 -118.2 0.0264058411121368 33.79236 -118.17533 11.1
"297" 2008-08-19 33.7 -118.2 0.130138233304024 33.79236 -118.17533 9.3
"298" 2008-08-21 33.7 -118.2 0.0350300520658493 33.79236 -118.17533 7.7
"299" 2008-08-22 33.7 -118.2 0.00278999656438828 33.79236 -118.17533 8.5
"300" 2008-08-24 33.7 -118.2 0.18373729288578 33.79236 -118.17533 15.4
"301" 2008-08-25 33.7 -118.2 0.194940730929375 33.79236 -118.17533 10.2
"302" 2008-08-26 33.7 -118.2 0.0264058411121368 33.79236 -118.17533 15.1
"303" 2008-09-02 33.7 -118.2 0.140535667538643 33.79236 -118.17533 13
"304" 2008-09-03 33.7 -118.2 0.109827026724815 33.79236 -118.17533 16
"305" 2008-09-04 33.7 -118.2 0.0208444371819496 33.79236 -118.17533 13.4
"306" 2008-09-05 33.7 -118.2 0.154157102108002 33.79236 -118.17533 17.4
"307" 2008-09-13 33.7 -118.2 0.355254471302032 33.79236 -118.17533 19
"308" 2008-09-14 33.7 -118.2 0.241366490721703 33.79236 -118.17533 22.3
"309" 2008-09-15 33.7 -118.2 0.151094272732735 33.79236 -118.17533 16.7
"310" 2008-09-21 33.7 -118.2 0.119902029633522 33.79236 -118.17533 7.5
"311" 2008-09-22 33.7 -118.2 0.130138233304024 33.79236 -118.17533 12
"312" 2008-09-23 33.7 -118.2 0.151094272732735 33.79236 -118.17533 20.1
"313" 2008-09-24 33.7 -118.2 0.043815478682518 33.79236 -118.17533 20.1
"314" 2008-10-01 33.7 -118.2 0.168221786618233 33.79236 -118.17533 13.2
"315" 2008-10-05 33.7 -118.2 0.0618699043989182 33.79236 -118.17533 7.5
"316" 2008-10-06 33.7 -118.2 0.172695115208626 33.79236 -118.17533 13.7
"317" 2008-10-10 33.7 -118.2 0.119902029633522 33.79236 -118.17533 11.5
